City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
463,Boali,CF,84.07,broken clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
469,Luis Correia,BR,87.8,scattered clouds,-2.8792,-41.6669,Hotel Amarração
473,Mecca,SA,81.66,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
474,Mandera,KE,86.63,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
489,Pangai,TO,76.57,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
491,Sur,OM,81.37,clear sky,22.5667,59.5289,Sur Plaza Hotel
494,Tam Ky,VN,76.98,overcast clouds,15.5667,108.4833,Khách Sạn Đông Á
503,Miranda,CO,82.53,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
504,Dolores,AR,79.84,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
505,Gizo,SB,82.56,broken clouds,-8.103,156.8419,Imagination Island
515,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
517,Hidrolandia,BR,87.58,overcast clouds,-4.4081,-40.4378,Camping Pedra do Tatu - Fazenda Alves
524,Suba,PH,83.23,broken clouds,10.8438,121.0102,Jarnchi Pension House
526,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
528,Buraydah,SA,77.45,clear sky,26.326,43.975,فندق راحة السلام
530,Pemba,MZ,79.5,broken clouds,-12.974,40.5178,Guesthouse Samotina
531,Manavalakurichi,IN,78.89,light rain,8.1333,77.3,Udaya Boys Hostel
544,The Valley,AI,89.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
548,Banamba,ML,84.45,broken clouds,13.55,-7.45,Kassela de Banamba
552,Wanning,CN,76.12,overcast clouds,18.8003,110.3967,Paradise Hotel
560,Tupiza,BO,76.89,few clouds,-21.45,-65.7167,La Torre Hotel
562,Sorong,ID,77.99,broken clouds,-0.8833,131.25,waigo splash hotel
563,Coruripe,BR,78.64,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
564,Kasama,ZM,76.44,broken clouds,-10.2129,31.1808,Kalebalika Cottages
568,Kirakira,SB,81.59,overcast clouds,-10.4544,161.9205,SanBiz Lodge
574,Nouakchott,MR,80.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
584,Iracoubo,GF,82.94,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
585,Rio Grande,BR,78.91,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
588,Hobyo,SO,80.47,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
600,Kutum,SD,76.89,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
601,Puerto Narino,CO,80.55,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
605,Akyab,MM,78.57,scattered clouds,20.15,92.9,Hotel Memory
606,Mogadishu,SO,79.21,few clouds,2.0371,45.3438,Hotel Juba
610,Biltine,TD,86.04,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
611,Mwense,ZM,75.02,few clouds,-10.3845,28.698,Mwense Council Guest House
616,Caravelas,BR,75.99,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
617,Piranhas,BR,79.97,overcast clouds,-16.4269,-51.8222,Planalto Hotel
620,Narasannapeta,IN,76.14,few clouds,18.4167,84.05,G.lingaraju home
621,Vanimo,PG,77.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
623,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
629,Amarante Do Maranhao,BR,88.02,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
633,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
635,Bage,BR,85.78,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
636,Buchanan,LR,78.76,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
638,Semenyih,MY,78.58,overcast clouds,2.9516,101.843,Diamond City Bungalow 13 pax by BeeStay near Broga
640,Tenkodogo,BF,88.56,clear sky,11.78,-0.3697,Hôtel Tiéba
643,La Palma,US,84.67,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
644,Luganville,VU,80.98,clear sky,-15.5333,167.1667,The Espiritu Hotel
652,Sanchor,IN,75.65,broken clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
654,Dwarka,IN,80.53,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
655,Bonthe,SL,75.87,light rain,7.5264,-12.505,Bonthe Holiday Village
657,Port-Gentil,GA,80.56,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
659,Lethem,GY,88.25,broken clouds,3.3803,-59.7968,Savannah Inn
660,Itarema,BR,82.22,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
661,Keti Bandar,PK,80.62,few clouds,24.1447,67.4497,Haji laloo memon house
664,Maragogi,BR,77.97,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
665,Namatanai,PG,80.29,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
666,Kilindoni,TZ,78.91,few clouds,-7.9139,39.6668,Bustani B&B
669,Bom Conselho,BR,77.16,few clouds,-9.1697,-36.6797,Hotel Raízes
677,Diego De Almagro,CL,82.58,clear sky,-26.3667,-70.05,hotel luna del desierto
682,Srandakan,ID,77.31,overcast clouds,-7.9386,110.2506,Puri Brata
