City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Weather Desciption
230,Cochrane,CA,51.1834,-114.4687,35.85,56,1,9.22,clear sky
231,Lagoa,PT,39.05,-27.9833,70.03,90,100,24.23,overcast clouds
232,Prince Rupert,CA,54.3161,-130.3201,44.29,75,97,11.5,overcast clouds
233,Bjornevatn,NO,69.6672,29.9847,19.74,100,100,5.75,overcast clouds
234,Vardo,NO,70.3705,31.1107,39.34,76,92,7.58,overcast clouds
235,Morro Bay,US,35.3658,-120.8499,71.24,80,100,4.0,overcast clouds
236,Vestmanna,FO,62.1564,-7.1664,45.52,87,90,12.66,overcast clouds
237,Kazerun,IR,29.6195,51.6541,68.2,61,0,1.63,clear sky
238,Chillicothe,US,39.3331,-82.9824,59.79,84,90,0.0,overcast clouds
239,Basse,DE,52.5518,9.5069,56.14,74,75,10.36,broken clouds
240,Alofi,NU,-19.0595,-169.9187,76.89,78,100,10.36,light rain
241,Nadym,RU,65.5333,72.5167,9.93,92,100,18.52,overcast clouds
242,Torbay,CA,47.6666,-52.7314,50.88,59,20,5.75,few clouds
243,Camocim,BR,-2.9022,-40.8411,85.3,63,15,13.89,few clouds
244,Boralday,KZ,43.3578,76.8594,37.26,93,75,2.24,mist
245,Kuopio,FI,62.8924,27.677,44.55,93,90,11.5,overcast clouds
246,Broome,US,42.2506,-75.833,56.86,77,90,1.01,overcast clouds
247,Vernon,CA,50.2581,-119.2691,47.23,64,1,1.14,clear sky
248,Kavieng,PG,-2.5744,150.7967,82.47,77,34,11.36,light rain
249,Serebryanyy Bor,RU,56.8,124.8,0.5,97,33,2.28,scattered clouds
250,Port Alfred,ZA,-33.5906,26.891,63.48,91,57,7.83,broken clouds
251,Salalah,OM,17.0151,54.0924,82.49,65,0,5.75,clear sky
252,Mola Di Bari,IT,41.0609,17.0873,62.22,79,2,6.4,clear sky
253,Yulara,AU,-25.2406,130.9889,58.84,88,100,8.05,light rain
254,Luau,AO,-10.7073,22.2247,65.44,86,100,2.82,overcast clouds
255,Kingman,US,35.1894,-114.053,79.05,19,1,13.8,clear sky
256,La Ronge,CA,55.1001,-105.2842,37.62,69,75,10.36,broken clouds
257,Panguna,PG,-6.3164,155.4848,68.0,96,85,2.53,light rain
258,Yantal,RU,56.8471,105.2542,35.02,62,100,6.53,overcast clouds
259,Bam,IR,29.106,58.357,70.5,23,13,4.68,few clouds
260,General Roca,AR,-39.0333,-67.5833,71.62,19,100,17.02,overcast clouds
261,Taltal,CL,-25.4,-70.4833,67.17,60,22,5.14,few clouds
262,Norman Wells,CA,65.282,-126.8329,17.64,93,90,5.75,fog
263,Nome,US,64.5011,-165.4064,6.87,72,1,5.75,clear sky
264,Souillac,MU,-20.5167,57.5167,71.98,88,40,3.44,scattered clouds
265,Kiama,AU,-34.6833,150.8667,49.48,84,0,5.14,clear sky
266,Shiyan,CN,32.6475,110.7781,58.03,78,100,2.08,overcast clouds
267,Waddan,LY,29.1614,16.139,72.27,31,100,6.17,overcast clouds
268,Bafq,IR,31.6128,55.4107,66.6,25,0,4.45,clear sky
269,Thunder Bay,CA,48.4001,-89.3168,51.98,84,90,3.44,overcast clouds
270,Zaraza,VE,9.3503,-65.3245,82.4,77,100,3.78,overcast clouds
271,Mount Gambier,AU,-37.8333,140.7667,40.91,93,40,0.0,scattered clouds
272,Porto Novo,BJ,6.4965,2.6036,80.08,83,100,6.31,overcast clouds
273,Nemuro,JP,43.3236,145.575,48.7,75,54,12.59,broken clouds
274,Kemijarvi,FI,66.7131,27.4306,40.23,99,100,6.87,overcast clouds
275,Kapiri Mposhi,ZM,-13.9652,28.6809,77.58,31,41,6.91,scattered clouds
276,Madisonville,US,37.3281,-87.4989,57.04,99,100,5.01,overcast clouds
277,Ust-Kuyga,RU,70.0167,135.6,0.21,98,100,6.93,overcast clouds
278,Meiganga,CM,6.5167,14.3,69.73,74,76,3.87,broken clouds
279,Mukhen,RU,48.1,136.1,37.87,82,100,3.33,overcast clouds
280,Port Elizabeth,ZA,-33.918,25.5701,59.09,93,5,3.58,clear sky
281,Mount Pleasant,US,32.7941,-79.8626,62.6,72,90,4.0,overcast clouds
282,Elko,US,41.0002,-115.5012,56.73,58,100,3.0,overcast clouds
283,Kysyl-Syr,RU,63.8986,122.7617,4.89,95,87,7.49,overcast clouds
284,Padang,ID,-0.9492,100.3543,77.79,90,100,3.62,light rain
285,Arman,RU,59.7,150.1667,22.12,58,100,11.27,overcast clouds
286,Haines Junction,CA,60.7522,-137.5108,39.15,56,100,8.05,overcast clouds
287,Celestun,MX,20.8667,-90.4,79.88,52,47,10.11,scattered clouds
288,Fort-Shevchenko,KZ,44.5086,50.263,50.9,76,0,8.39,clear sky
289,Junagarh,IN,19.8667,82.9333,72.54,86,100,0.29,overcast clouds
290,Sioux Lookout,CA,50.1001,-91.917,46.47,76,90,6.91,overcast clouds
291,Te Anau,NZ,-45.4167,167.7167,46.33,94,100,6.35,light rain
292,Kupang,ID,-10.1667,123.5833,79.43,82,100,5.19,light rain
293,Tornio,FI,65.8481,24.1466,42.82,97,100,13.89,overcast clouds
294,Kahului,US,20.8947,-156.47,81.66,67,1,8.05,clear sky
295,Westport,US,41.1415,-73.3579,65.19,91,90,1.99,overcast clouds
296,Moen,NO,69.1304,18.6123,36.86,100,100,0.0,light rain
297,Grindavik,IS,63.8424,-22.4338,39.15,93,0,8.05,clear sky
298,Nantucket,US,41.2835,-70.0995,63.97,90,100,22.24,overcast clouds
299,Harnai,PK,30.1005,67.9374,67.37,15,0,7.18,clear sky
300,Visavadar,IN,21.3833,70.6833,72.61,39,29,5.79,scattered clouds
301,Kirando,TZ,-7.4167,30.6,78.15,67,94,6.71,overcast clouds
302,Benin,BJ,9.5,2.25,81.55,48,100,2.62,overcast clouds
303,Okhotsk,RU,59.3833,143.3,10.98,70,0,20.15,clear sky
304,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,82,20,6.91,volcanic ash
305,Mana,GF,5.6592,-53.7767,83.03,71,24,7.7,few clouds
306,Progreso,MX,21.2833,-89.6667,86.11,50,12,11.5,few clouds
307,Conceicao Do Araguaia,BR,-8.2578,-49.2647,91.49,39,42,7.65,scattered clouds
308,Kaeo,NZ,-35.1,173.7833,64.33,97,100,11.52,moderate rain
309,Masvingo,ZW,-20.0637,30.8277,76.87,45,94,2.19,overcast clouds
310,Sao Desiderio,BR,-12.3633,-44.9733,93.97,29,61,4.16,broken clouds
311,Hailey,US,43.5196,-114.3153,53.46,66,1,10.36,clear sky
312,Carcasi,CO,6.6265,-72.6266,66.0,88,91,3.98,overcast clouds
313,Barranca,PE,-10.75,-77.7667,68.05,70,27,9.44,scattered clouds
314,Avarua,CK,-21.2078,-159.775,75.25,64,20,16.11,few clouds
315,Mexico,PH,15.0646,120.7198,79.14,86,8,3.85,clear sky
316,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.15,63,0,8.01,clear sky
317,Mugumu,TZ,-1.85,34.7,69.1,59,77,1.54,broken clouds
318,Nongpoh,IN,25.9,91.8833,65.77,88,20,3.02,few clouds
319,Riachao Das Neves,BR,-11.7461,-44.91,91.9,28,90,5.86,overcast clouds
320,Bentiu,SS,9.2333,29.8333,79.29,60,97,5.41,overcast clouds
321,Korla,CN,41.7597,86.1469,50.07,31,79,2.42,broken clouds
322,Tadine,NC,-21.55,167.8833,73.38,76,0,5.35,clear sky
323,Roberval,CA,48.5168,-72.2324,46.85,70,75,2.3,broken clouds
324,Olafsvik,IS,64.8945,-23.7142,43.23,90,72,18.41,broken clouds
325,Sarangani,PH,5.4033,125.4636,82.53,74,100,5.48,overcast clouds
326,Portland,US,45.5234,-122.6762,61.84,42,1,5.99,clear sky
327,Bulgan,MN,48.8125,103.5347,30.2,76,82,2.91,broken clouds
328,Amparafaravola,MG,-17.5833,48.2167,64.98,93,47,4.74,scattered clouds
329,Necochea,AR,-38.5473,-58.7368,58.03,75,100,20.51,overcast clouds
330,Port Macquarie,AU,-31.4333,152.9167,55.89,78,100,9.4,overcast clouds
331,Port Blair,IN,11.6667,92.75,80.37,81,98,1.72,overcast clouds
332,Nikolskoye,RU,59.7035,30.7861,45.81,93,95,7.47,overcast clouds
333,Matara,LK,5.9485,80.5353,76.5,91,47,3.24,scattered clouds
334,Saint-Augustin,CA,51.226,-58.6502,51.66,42,7,6.58,clear sky
335,Tanout,NE,14.9709,8.8879,87.1,14,15,10.8,few clouds
336,Marysville,US,48.0518,-122.1771,53.69,70,1,3.0,clear sky
